Verwaltungskreis,Träger,Bildungsstufe,Schueler
Verwaltungskreis Biel/Bienne,Nicht subventionierte Schule,Vorschulstufe,1
Verwaltungskreis Obersimmental-Saanen,Nicht subventionierte Schule,Vorschulstufe,7
Verwaltungskreis Bern-Mittelland,Nicht subventionierte Schule,Vorschulstufe,6
Verwaltungskreis Emmental,Nicht subventionierte Schule,Vorschulstufe,4
Verwaltungskreis Biel/Bienne,Nicht subventionierte Schule,Vorschulstufe,9
Verwaltungskreis Emmental,Nicht subventionierte Schule,Vorschulstufe,1
Verwaltungskreis Bern-Mittelland,Nicht subventionierte Schule,Sekundarstufe I,2
Verwaltungskreis Emmental,Nicht subventionierte Schule,Sekundarstufe I,6
Verwaltungskreis Bern-Mittelland,Nicht subventionierte Schule,Sekundarstufe I,5
Verwaltungskreis Bern-Mittelland,Nicht subventionierte Schule,Sekundarstufe I,9
Verwaltungskreis Thun,Nicht subventionierte Schule,Sekundarstufe I,45
Verwaltungskreis Bern-Mittelland,Nicht subventionierte Schule,Sekundarstufe I,2
Verwaltungskreis Bern-Mittelland,Nicht subventionierte Schule,Sekundarstufe I,9
Verwaltungskreis Interlaken-Oberhasli,Nicht subventionierte Schule,Sekundarstufe I,39
Verwaltungskreis Interlaken-Oberhasli,Nicht subventionierte Schule,Sekundarstufe I,6
Verwaltungskreis Bern-Mittelland,Nicht subventionierte Schule,Sekundarstufe I,11
Verwaltungskreis Interlaken-Oberhasli,Nicht subventionierte Schule,Sekundarstufe I,3
Verwaltungskreis Interlaken-Oberhasli,Nicht subventionierte Schule,Sekundarstufe I,2
Verwaltungskreis Interlaken-Oberhasli,Nicht subventionierte Schule,Sekundarstufe I,2
Verwaltungskreis Interlaken-Oberhasli,Nicht subventionierte Schule,Sekundarstufe I,42
Verwaltungskreis Interlaken-Oberhasli,Nicht subventionierte Schule,Sekundarstufe I,7
Verwaltungskreis Biel/Bienne,Nicht subventionierte Schule,Sekundarstufe I,50
Verwaltungskreis Biel/Bienne,Nicht subventionierte Schule,Sekundarstufe I,1
Verwaltungskreis Biel/Bienne,Nicht subventionierte Schule,Sekundarstufe I,4
Verwaltungskreis Bern-Mittelland,Nicht subventionierte Schule,Sekundarstufe I,16
Verwaltungskreis Bern-Mittelland,Nicht subventionierte Schule,Sekundarstufe I,94
Verwaltungskreis Interlaken-Oberhasli,Nicht subventionierte Schule,Sekundarstufe I,14
Verwaltungskreis Interlaken-Oberhasli,Nicht subventionierte Schule,Sekundarstufe I,13
Verwaltungskreis Frutigen-Niedersimmental,Nicht subventionierte Schule,Sekundarstufe I,11
Verwaltungskreis Interlaken-Oberhasli,Nicht subventionierte Schule,Sekundarstufe I,4
Verwaltungskreis Interlaken-Oberhasli,Nicht subventionierte Schule,Sekundarstufe I,2
Verwaltungskreis Interlaken-Oberhasli,Nicht subventionierte Schule,Sekundarstufe I,4
Verwaltungskreis Frutigen-Niedersimmental,Nicht subventionierte Schule,Sekundarstufe I,18
Verwaltungskreis Interlaken-Oberhasli,Nicht subventionierte Schule,Sekundarstufe I,5
Verwaltungskreis Biel/Bienne,Nicht subventionierte Schule,Sekundarstufe I,9
Verwaltungskreis Biel/Bienne,Nicht subventionierte Schule,Sekundarstufe I,3
Verwaltungskreis Obersimmental-Saanen,Nicht subventionierte Schule,Sekundarstufe I,15
Verwaltungskreis Obersimmental-Saanen,Nicht subventionierte Schule,Sekundarstufe I,35
Verwaltungskreis Emmental,Nicht subventionierte Schule,Sekundarstufe I,4
Verwaltungskreis Bern-Mittelland,Nicht subventionierte Schule,Sekundarstufe I,11
