group,students,verwaltungskreis,gemeinde
9,657,Verwaltungskreis Seeland,Aarberg
7,504,Verwaltungskreis Oberaargau,Aarwangen
5,403,Verwaltungskreis Frutigen-Niedersimmental,Adelboden
4,90,Verwaltungskreis Emmental,Aefligen
3,115,Verwaltungskreis Biel/Bienne,Aegerten
5,256,Verwaltungskreis Frutigen-Niedersimmental,Aeschi bei Spiez
4,92,Verwaltungskreis Emmental,Affoltern im Emmental
4,63,Verwaltungskreis Emmental,Alchenstorf
2,39,Verwaltungskreis Bern-Mittelland,Allmendingen
10,95,Verwaltungskreis Thun,Amsoldingen
9,224,Verwaltungskreis Seeland,Arch
2,169,Verwaltungskreis Bern-Mittelland,Arni (BE)
7,97,Verwaltungskreis Oberaargau,Attiswil
7,16,Verwaltungskreis Oberaargau,Auswil
7,60,Verwaltungskreis Oberaargau,Bannwil
9,93,Verwaltungskreis Seeland,Bargen (BE)
2,73,Verwaltungskreis Bern-Mittelland,Bäriswil
4,326,Verwaltungskreis Emmental,Bätterkinden
6,119,Verwaltungskreis Interlaken-Oberhasli,Beatenberg
3,152,Verwaltungskreis Biel/Bienne,Bellmund
2,1161,Verwaltungskreis Bern-Mittelland,Belp
1,14,Arrondissement administratif Jura bernois,Belprahon
2,11021,Verwaltungskreis Bern-Mittelland,Bern
7,43,Verwaltungskreis Oberaargau,Bettenhausen
1,140,Arrondissement administratif Jura bernois,Bévilard
3,5772,Verwaltungskreis Biel/Bienne,Biel/Bienne
2,238,Verwaltungskreis Bern-Mittelland,Biglen
2,41,Verwaltungskreis Bern-Mittelland,Bleiken bei Oberdiessbach
10,119,Verwaltungskreis Thun,Blumenstein
2,660,Verwaltungskreis Bern-Mittelland,Bolligen
8,125,Verwaltungskreis Obersimmental-Saanen,Boltigen
6,218,Verwaltungskreis Interlaken-Oberhasli,Bönigen
2,126,Verwaltungskreis Bern-Mittelland,Bowil
2,409,Verwaltungskreis Bern-Mittelland,Bremgarten bei Bern
2,56,Verwaltungskreis Bern-Mittelland,Brenzikofen
6,346,Verwaltungskreis Interlaken-Oberhasli,Brienz (BE)
6,52,Verwaltungskreis Interlaken-Oberhasli,Brienzwiler
3,404,Verwaltungskreis Biel/Bienne,Brügg
9,52,Verwaltungskreis Seeland,Brüttelen
10,155,Verwaltungskreis Thun,Buchholterberg
9,61,Verwaltungskreis Seeland,Büetigen
9,393,Verwaltungskreis Seeland,Büren an der Aare
2,56,Verwaltungskreis Bern-Mittelland,Büren zum Hof
4,1692,Verwaltungskreis Emmental,Burgdorf
10,90,Verwaltungskreis Thun,Burgistein
1,11,Arrondissement administratif Jura bernois,Champoz
1,21,Arrondissement administratif Jura bernois,Châtelat
1,20,Arrondissement administratif Jura bernois,Corcelles (BE)
1,336,Arrondissement administratif Jura bernois,Corgémont
1,66,Arrondissement administratif Jura bernois,Cormoret
1,71,Arrondissement administratif Jura bernois,Cortébert
1,118,Arrondissement administratif Jura bernois,Court
1,175,Arrondissement administratif Jura bernois,Courtelary
1,44,Arrondissement administratif Jura bernois,Crémines
6,39,Verwaltungskreis Interlaken-Oberhasli,Därligen
5,92,Verwaltungskreis Frutigen-Niedersimmental,Därstetten
2,16,Verwaltungskreis Bern-Mittelland,Diemerswil
5,256,Verwaltungskreis Frutigen-Niedersimmental,Diemtigen
9,109,Verwaltungskreis Seeland,Diessbach bei Büren
1,94,Arrondissement administratif Jura bernois,Diesse
9,214,Verwaltungskreis Seeland,Dotzigen
4,122,Verwaltungskreis Emmental,Dürrenroth
4,247,Verwaltungskreis Emmental,Eggiwil
9,22,Verwaltungskreis Seeland,Epsach
7,147,Verwaltungskreis Oberaargau,Eriswil
10,48,Verwaltungskreis Thun,Eriz
9,218,Verwaltungskreis Seeland,Erlach
5,211,Verwaltungskreis Frutigen-Niedersimmental,Erlenbach im Simmental
4,166,Verwaltungskreis Emmental,Ersigen
1,41,Arrondissement administratif Jura bernois,Eschert
2,15,Verwaltungskreis Bern-Mittelland,Etzelkofen
3,245,Verwaltungskreis Biel/Bienne,Evilard
10,65,Verwaltungskreis Thun,Fahrni
7,18,Verwaltungskreis Oberaargau,Farnern
2,83,Verwaltungskreis Bern-Mittelland,Ferenbalm
9,52,Verwaltungskreis Seeland,Finsterhennen
10,65,Verwaltungskreis Thun,Forst-Längenbühl
2,306,Verwaltungskreis Bern-Mittelland,Fraubrunnen
2,69,Verwaltungskreis Bern-Mittelland,Frauenkappelen
2,46,Verwaltungskreis Bern-Mittelland,Freimettigen
5,832,Verwaltungskreis Frutigen-Niedersimmental,Frutigen
6,9,Verwaltungskreis Interlaken-Oberhasli,Gadmen
9,45,Verwaltungskreis Seeland,Gals
9,53,Verwaltungskreis Seeland,Gampelen
2,124,Verwaltungskreis Bern-Mittelland,Gerzensee
2,19,Verwaltungskreis Bern-Mittelland,Golaten
7,68,Verwaltungskreis Oberaargau,Gondiswil
7,39,Verwaltungskreis Oberaargau,Graben
2,73,Verwaltungskreis Bern-Mittelland,Grafenried
1,34,Arrondissement administratif Jura bernois,Grandval
6,307,Verwaltungskreis Interlaken-Oberhasli,Grindelwald
9,226,Verwaltungskreis Seeland,Grossaffoltern
2,415,Verwaltungskreis Bern-Mittelland,Grosshöchstetten
8,67,Verwaltungskreis Obersimmental-Saanen,Gsteig
6,86,Verwaltungskreis Interlaken-Oberhasli,Gsteigwiler
2,119,Verwaltungskreis Bern-Mittelland,Guggisberg
6,25,Verwaltungskreis Interlaken-Oberhasli,Gündlischwand
2,23,Verwaltungskreis Bern-Mittelland,Gurbrü
10,86,Verwaltungskreis Thun,Gurzelen
6,25,Verwaltungskreis Interlaken-Oberhasli,Guttannen
6,77,Verwaltungskreis Interlaken-Oberhasli,Habkern
4,280,Verwaltungskreis Emmental,Hasle bei Burgdorf
6,163,Verwaltungskreis Interlaken-Oberhasli,Hasliberg
2,18,Verwaltungskreis Bern-Mittelland,Häutligen
10,56,Verwaltungskreis Thun,Heiligenschwendi
10,611,Verwaltungskreis Thun,Heimberg
7,75,Verwaltungskreis Oberaargau,Heimenhausen
4,167,Verwaltungskreis Emmental,Heimiswil
4,37,Verwaltungskreis Emmental,Hellsau
2,54,Verwaltungskreis Bern-Mittelland,Herbligen
9,48,Verwaltungskreis Seeland,Hermrigen
7,725,Verwaltungskreis Oberaargau,Herzogenbuchsee
10,413,Verwaltungskreis Thun,Hilterfingen
4,311,Verwaltungskreis Emmental,Hindelbank
6,82,Verwaltungskreis Interlaken-Oberhasli,Hofstetten bei Brienz
10,152,Verwaltungskreis Thun,Homberg
7,638,Verwaltungskreis Oberaargau,Huttwil
2,37,Verwaltungskreis Bern-Mittelland,Iffwil
7,50,Verwaltungskreis Oberaargau,Inkwil
6,84,Verwaltungskreis Interlaken-Oberhasli,Innertkirchen
9,602,Verwaltungskreis Seeland,Ins
6,605,Verwaltungskreis Interlaken-Oberhasli,Interlaken
3,317,Verwaltungskreis Biel/Bienne,Ipsach
6,43,Verwaltungskreis Interlaken-Oberhasli,Iseltwald
2,1195,Verwaltungskreis Bern-Mittelland,Ittigen
2,591,Verwaltungskreis Bern-Mittelland,Jegenstorf
9,51,Verwaltungskreis Seeland,Jens
9,144,Verwaltungskreis Seeland,Kallnach
5,79,Verwaltungskreis Frutigen-Niedersimmental,Kandergrund
5,79,Verwaltungskreis Frutigen-Niedersimmental,Kandersteg
9,139,Verwaltungskreis Seeland,Kappelen
2,109,Verwaltungskreis Bern-Mittelland,Kaufdorf
2,478,Verwaltungskreis Bern-Mittelland,Kehrsatz
4,55,Verwaltungskreis Emmental,Kernenried
2,88,Verwaltungskreis Bern-Mittelland,Kiesen
4,682,Verwaltungskreis Emmental,Kirchberg (BE)
2,69,Verwaltungskreis Bern-Mittelland,Kirchdorf (BE)
2,40,Verwaltungskreis Bern-Mittelland,Kirchenthurnen
2,186,Verwaltungskreis Bern-Mittelland,Kirchlindach
2,3779,Verwaltungskreis Bern-Mittelland,Köniz
2,514,Verwaltungskreis Bern-Mittelland,Konolfingen
4,316,Verwaltungskreis Emmental,Koppigen
5,70,Verwaltungskreis Frutigen-Niedersimmental,Krattigen
4,172,Verwaltungskreis Emmental,Krauchthal
2,15,Verwaltungskreis Bern-Mittelland,Kriechenwil
1,60,Arrondissement administratif Jura bernois,La Ferrière
1,48,Arrondissement administratif Jura bernois,La Heutte
1,490,Arrondissement administratif Jura bernois,La Neuveville
1,43,Arrondissement administratif Jura bernois,Lamboing
7,1809,Verwaltungskreis Oberaargau,Langenthal
4,1121,Verwaltungskreis Emmental,Langnau im Emmental
8,66,Verwaltungskreis Obersimmental-Saanen,Lauenen
2,336,Verwaltungskreis Bern-Mittelland,Laupen
4,335,Verwaltungskreis Emmental,Lauperswil
6,220,Verwaltungskreis Interlaken-Oberhasli,Lauterbrunnen
6,77,Verwaltungskreis Interlaken-Oberhasli,Leissigen
